# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
1.837899e+04 2.949839e-02 6.071793e-04
1.870076e+04 2.953067e-02 6.071793e-04
1.902817e+04 2.956296e-02 6.071793e-04
1.936131e+04 2.959539e-02 6.071793e-04
1.970028e+04 2.962787e-02 6.071793e-04
2.004518e+04 2.966034e-02 6.071793e-04
2.039613e+04 2.969293e-02 6.071793e-04
2.075322e+04 2.972558e-02 6.071793e-04
2.111656e+04 2.975830e-02 6.071793e-04
2.148626e+04 2.979107e-02 6.071793e-04
2.186243e+04 2.982383e-02 6.071793e-04
2.224519e+04 2.985671e-02 6.071793e-04
2.263465e+04 2.988965e-02 6.071793e-04
2.303093e+04 2.992257e-02 6.071793e-04
2.343415e+04 2.995560e-02 6.071793e-04
2.384443e+04 2.998869e-02 6.071793e-04
2.426189e+04 3.002175e-02 6.071793e-04
2.468666e+04 3.005493e-02 6.071793e-04
2.511886e+04 3.008802e-02 6.071793e-04
